metric_key,Metric,LoRA,QLoRA
train_loss,Train Loss,0.0354821880964019,0.0357600062428008
best_metric,Best Validation Metric,0.0095092803239822,0.0097147431224584
bleu,BLEU,0.9737172945781444,0.976391369042091
rouge1,ROUGE-1,0.9938061018017444,0.9946718173760484
rouge2,ROUGE-2,0.9802004313889032,0.980931139425689
rougeL,ROUGE-L,0.8573922450495222,0.8602554725679653
rougeLsum,ROUGE-Lsum,0.8577705106848639,0.8604709855036805
bertscore_precision,BERTScore Precision,0.9886369343817704,0.989289859148461
bertscore_recall,BERTScore Recall,0.9906749791047704,0.9910534951161212
bertscore_f1,BERTScore F1,0.9895959179701768,0.9901251358779396
avg_prediction_token_length,Avg Prediction Token Length,223.81102362204723,223.3503937007874
avg_reference_token_length,Avg Reference Token Length,221.61811023622047,221.61811023622047
prediction_reference_length_ratio,Prediction / Reference Length Ratio,1.00989500985948,1.0078165248441135
avg_fact_precision,Avg Fact Precision,0.99462879640045,0.99462879640045
avg_fact_recall,Avg Fact Recall,0.999437570303712,0.999437570303712
avg_fact_f1,Avg Fact F1,0.99663623777797,0.99663623777797
avg_hallucination_rate,Avg Hallucination Rate,0.00537120359955,0.00537120359955
exact_match_rate,Exact Match Rate,0.2677165354330709,0.2716535433070866
exact_match_count,Exact Match Count,68.0,69.0
test_input_overlap_rate,Test Input Overlap Rate,0.0,0.0
test_output_overlap_rate,Test Output Overlap Rate,0.0,0.0
